track_id,name,artist,year,genre_grouped,energy,valence,mood,total_plays,popularity_norm,tempo_class
TRAAAED128E0783FAB,It's About Time,Jamie Cullum,2004,Jazz & Soul,0.507,0.454,0.48050000000000004,315,5.967118336481067e-4,Fast
TRAAAHD128F42635A5,I'll Be Waiting,Adele,2011,Pop,0.843,0.754,0.7985,2,3.788646562845122e-6,Fast
TRAAAQO12903CD8E1C,Take Time,The Books,2003,Rock,0.643,0.504,0.5735,1,1.894323281422561e-6,Medium
TRAABJS128F9325C99,Auburn and Ivory,Beach House,2006,Rock,0.285,0.366,0.3255,1831,0.0034685059282847093,Fast
TRAABXA128F9326351,Brain,Banks,2014,Rock,0.498,0.0807,0.28935,37,7.008996141263475e-5,Medium
TRAACCD128F422CDA8,Just a Girl,No Doubt,2019,Rock,0.911,0.748,0.8295,1,1.894323281422561e-6,Medium
TRAACER128F4290F96,Setting Fire to Sleeping Giants,The Dillinger Escape Plan,2004,Metal,0.992,0.29,0.641,88,1.6670044876518537e-4,Fast
TRAACIR128F42963AC,Cradle In The Crater,The Number Twelve Looks Like You,2007,Metal,0.829,0.158,0.4935,10,1.894323281422561e-5,Fast
TRAACKM12903CE5BE9,Ionized,Monolake,2001,Electronic,0.403,0.648,0.5255000000000001,124,2.3489608689639756e-4,Fast
TRAACPH12903CF5F14,Double Feature,Camera Obscura,2001,Rock,0.566,0.348,0.45699999999999996,1673,0.0031692028498199448,Medium
TRAACZN128F93236B1,Seaweed,Skalpel,2005,Hip hop,0.405,0.0697,0.23735,47,8.903319422686037e-5,Medium
TRAACZR12903CDD291,Brain Dead,Exodus,1997,Metal,0.951,0.299,0.625,6,1.1365939688535365e-5,Medium
TRAADBN128F932D00A,La mauvaise réputation,Georges Brassens,2014,other,0.204,0.789,0.4965,8,1.5154586251380489e-5,Fast
TRAADCQ128F932EC14,The Beacon,Enslaved,2010,Pop,0.958,0.123,0.5405,1712,0.0032430814577954245,Fast
TRAADNN128F42B1D94,Bernadette,The Four Tops,1992,other,0.641,0.773,0.7070000000000001,70,1.3260262969957927e-4,Medium
TRAADQW128F427CE68,Prophecy,Soulfly,2019,Metal,0.802,0.145,0.47350000000000003,591,0.0011195450593207337,Fast
TRAADQX128F422B4CF,Nashville Parthenon,Casiotone for the Painfully Alone,2006,Rock,0.43,0.857,0.6435,522,9.888367529025768e-4,Fast
TRAADVO128E07999E9,Oh God,Jamie Cullum,2005,Jazz & Soul,0.414,0.168,0.291,940,0.0017806638845372074,Slow
TRAAERZ128F1496921,All This Time,Sting,1991,Reggae,0.569,0.429,0.499,6,1.1365939688535365e-5,Fast
TRAAFGQ128F427D884,One Last Time,The Kooks,2008,Rock,0.595,0.443,0.519,2848,0.005395032705491454,Medium
TRAAFOC128F4259332,Polish,Fugazi,1991,Metal,0.76,0.55,0.655,6,1.1365939688535365e-5,Fast
TRAAFOY128F146CC17,Astair,Matt Costa,2014,Folk,0.374,0.546,0.46,3782,0.0071643306503401255,Medium
TRAAGCZ128F93210FD,Let's Get It Started,Black Eyed Peas,2013,Pop,0.753,0.82,0.7865,20511,0.03885446482525815,Medium
TRAAGPJ128F428CD1B,I Never Came,Queens of the Stone Age,2005,Rock,0.517,0.493,0.505,446,8.448681835144622e-4,Medium
TRAAGRA128F9309CC9,I Waited for You,Simian Mobile Disco,2012,Electronic,0.454,0.236,0.345,2,3.788646562845122e-6,Fast
TRAAGSG128F92CFC6E,Domingo,Gotan Project,2006,Electronic,0.528,0.485,0.5065,17,3.220349578418354e-5,Medium
TRAAHBS128F429F76A,I'm Cool,Reel Big Fish,1995,Reggae,0.75,0.833,0.7915,578,0.0010949188566622403,Fast
TRAAHDK128F423BB26,Folding Stars,Biffy Clyro,2008,Rock,0.831,0.343,0.587,943,0.001786346854381475,Fast
TRAAHSY128F147BB5C,Speed of Sound,Coldplay,2008,Rock,0.898,0.355,0.6265000000000001,626,0.0011858463741705233,Fast
TRAAIHF128F426FFA8,The Greatest,Sia,2016,Rock,0.715,0.718,0.7164999999999999,15,2.8414849221338415e-5,Fast
TRAAIQS128F9301078,Kladfvgbung Micshk,Aphex Twin,2001,Electronic,0.551,0.126,0.3385,113,2.140585308007494e-4,Fast
TRAAIUW128F4290B94,These Days,Foo Fighters,2011,Rock,0.638,0.217,0.4275,606,0.001147959908542072,Fast
TRAAJJW128F4298683,You Are The Only One I Love,Jaymay,2007,Folk,0.299,0.173,0.236,1778,0.0033681067943693134,Slow
TRAAJXX128F4239802,We Shall All Bleed,DeadLock,2014,Metal,0.959,0.113,0.536,111,2.1026988423790427e-4,Medium
TRAAKDG128F42A0ECB,Hips Don't Lie,Shakira,2001,Pop,0.82,0.76,0.79,41301,0.07823744584603319,Medium
TRAAKFF128F42B69BD,Nothing Matters,Tricky,2013,Hip hop,0.77,0.475,0.6225,1,1.894323281422561e-6,Medium
TRAAKLQ12903CB0D25,Growler,FC/Kahuna,2002,Electronic,0.798,0.289,0.5435,88,1.6670044876518537e-4,Medium
TRAAKMS12903CDCF78,Spite,Element Eighty,2006,Metal,0.799,0.846,0.8225,8,1.5154586251380489e-5,Fast
TRAAKRN128F92FF8D0,Come On You Slags,Aphex Twin,1995,Electronic,0.995,0.155,0.575,84,1.5912315563949514e-4,Medium
TRAAKSR128F93593F0,Quino-Phec,Polygon Window,1993,Electronic,0.0543,0.206,0.13015,37,7.008996141263475e-5,Slow
TRAALAH128E078234A,Bitter Sweet Symphony,The Verve,1999,Rock,0.907,0.514,0.7105,76893,0.14566020007842498,Fast
TRAAMAI128F426A0AD,Enter Vril-Ya,Therion,2000,Metal,0.885,0.315,0.6,183,3.466611605003287e-4,Medium
TRAAMHN128F42956E6,Master Of Puppets,Trivium,2005,Metal,0.959,0.396,0.6775,31,5.872402172409939e-5,Medium
TRAAMUZ128F9327055,Diamonds And Pearls,Prince,1993,Pop,0.607,0.302,0.4545,16,3.0309172502760978e-5,Medium
TRAANRJ128F931D72D,Danger: Wildman,The Devil Wears Prada,2012,Metal,0.991,0.122,0.5565,2133,0.004040591559274323,Fast
TRAANSZ128F425DD63,Stop Coming to My House,Mogwai,2005,Rock,0.612,0.0348,0.3234,6901,0.013072724965097093,Medium
TRAAOGR128F425E7BF,We Killed It,Say Anything,2007,Rock,0.961,0.559,0.76,111,2.1026988423790427e-4,Medium
TRAAOIN128F9303790,Snowball,Devo,1993,Rock,0.488,0.949,0.7184999999999999,18,3.40978190656061e-5,Fast
TRAAOTT128F14AE002,All Rise,Blue,2014,Pop,0.689,0.938,0.8134999999999999,48,9.092751750828292e-5,Medium
TRAAPCL128F930CB6C,100 Ways,Rob Zombie,2006,Jazz & Soul,0.656,0.487,0.5715,17,3.220349578418354e-5,Medium
TRAAPKN128F429CE4D,Bricks,Rise Against,2006,Metal,0.988,0.797,0.8925000000000001,1002,0.001898111927985406,Fast
TRAAQOU128F92D5955,Ludwig Van,Sepultura,2009,Metal,0.303,0.386,0.34450000000000003,22,4.167511219129634e-5,Fast
TRAAQXO128F933E779,Ephemeral,Insomnium,2014,Metal,0.984,0.522,0.753,9,1.704890953280305e-5,Medium
TRAAQYH128F92D5C30,Tao and Zen,Karunesh,2001,other,0.405,0.0348,0.2199,103,1.951152979865238e-4,Slow
TRAAREW12903CAEF29,Iridium,Dark Tranquillity,2010,Metal,0.516,0.0387,0.27735,70,1.3260262969957927e-4,Medium
TRAARQN128E07894DF,Millions,Starfucker,2011,Rock,0.862,0.53,0.696,33,6.251266828694451e-5,Fast
TRAARXB128F92FA0BF,Blackmail The Universe,Megadeth,2004,Metal,0.957,0.335,0.646,2965,0.005616668529417893,Fast
TRAARZE128F93264E9,Shark,Juno Reactor,2002,Electronic,0.62,0.0947,0.35735,126,2.386847334592427e-4,Slow
TRAASQC128F93480F0,Amber Changing,Rise Against,2013,Metal,0.968,0.518,0.743,1148,0.0021746831270731,Medium
TRAATIU128F4291A84,Shadows That Move,Mastodon,2006,Metal,0.972,0.564,0.768,72,1.363912762624244e-4,Fast
TRAAUEO128E0780CB9,English Summer Rain,Placebo,2003,Rock,0.909,0.517,0.7130000000000001,2328,0.004409984599151722,Medium
TRAAUFV128EF35F02C,Arka Noego,Habakuk,2007,Reggae,0.731,0.801,0.766,16,3.0309172502760978e-5,Fast
TRAAUKD128F14613E4,Security,Joss Stone,2006,Pop,0.769,0.534,0.6515,640,0.001212366900110439,Fast
TRAAVRU128F423EAE2,No Aloha,The Breeders,1993,Rock,0.524,0.448,0.486,650,0.0012313101329246648,Medium
TRAAWJK128F145C9D9,Excursions,A Tribe Called Quest,1991,Hip hop,0.608,0.707,0.6575,36,6.81956381312122e-5,Medium
TRAAWOJ128F9329EE3,Sick,Evanescence,2011,Rock,0.862,0.224,0.543,44,8.335022438259269e-5,Fast
TRAAWPB128F932A8DE,Man On Your Mind,Little River Band,2014,Rock,0.64,0.414,0.527,534,0.0010115686322796475,Fast
TRAAXAV128E0788BB9,Astrud Astronette,De-Phazz,2005,Jazz & Soul,0.764,0.902,0.833,704,0.001333603590121483,Fast
TRAAXNW128F930B0C5,Cosmic Fusion,Ayreon,2004,Metal,0.716,0.068,0.392,31,5.872402172409939e-5,Fast
TRAAXOW128F931C2DC,Another Day,Air,2004,Jazz & Soul,0.429,0.167,0.298,926,0.0017541433585972915,Fast
TRAAXPX128F42AA93D,Letter Read,Rachael Yamagata,2004,Pop,0.79,0.573,0.6815,220,4.1675112191296343e-4,Medium
TRAAXWC128F935915F,Audax Powder,Polygon Window,1993,Electronic,0.764,0.868,0.8160000000000001,10,1.894323281422561e-5,Fast
TRAAXYY128EF33FF2C,Lust,The Raveonettes,2007,Electronic,0.732,0.306,0.519,72,1.363912762624244e-4,Medium
TRAAXZC128F9360095,When the Sun Goes Down,Arctic Monkeys,2006,Rock,0.868,0.415,0.6415,88,1.6670044876518537e-4,Fast
TRAAYBP128E0792605,Bob,NOFX,1995,Rock,0.728,0.521,0.6245,500,9.471616407112805e-4,Medium
TRAAYMR128F4240EC9,Start a Fire,John Legend,2017,Pop,0.839,0.381,0.61,6,1.1365939688535365e-5,Medium
TRAAYRA128F92E9CC7,Bad Seed,Metallica,1997,Metal,0.952,0.727,0.8394999999999999,1,1.894323281422561e-6,Fast
TRAAYTI128F933663B,Exchange,Massive Attack,1998,Jazz & Soul,0.21,0.32,0.265,6,1.1365939688535365e-5,Fast
TRAAZPA128F9358504,Crazy Little Thing Called Love,Queen,2009,Rock,0.764,0.725,0.7444999999999999,17,3.220349578418354e-5,Slow
TRABBFC128F42424F0,Deliver Me,Parkway Drive,2010,Metal,0.868,0.193,0.5305,28,5.304105187983171e-5,Medium
TRABBHI128F426260D,Trusty Chords,Hot Water Music,2003,Metal,0.976,0.649,0.8125,892,0.0016897363670289245,Medium
TRABBXV12903CA7C77,The Arrival of Satan's Empire,Dark Funeral,2013,Metal,0.905,0.0324,0.4687,59,1.117650736039311e-4,Fast
TRABCJP128F4228913,The Christmas Song,Nat King Cole,2012,Jazz & Soul,0.122,0.201,0.1615,603,0.0011422769386978044,Slow
TRABCQH128F931525A,Intro,Gorillaz,2005,Hip hop,0.651,0.656,0.6535,49,9.282184078970549e-5,Fast
TRABCUQ128E0783E2B,Harajuku Girls,Gwen Stefani,2004,Pop,0.82,0.838,0.829,741,0.0014036935515341178,Medium
TRABDAA12903CF45CB,Show Me What You Got,Limp Bizkit,2000,Metal,0.924,0.551,0.7375,27,5.1146728598409146e-5,Medium
TRABDEP128F428B3E3,Just Abuse Me,Air Traffic,2007,Rock,0.716,0.644,0.6799999999999999,818,0.0015495564442036549,Fast
TRABDKM128EF35788A,Old Friends,Simon & Garfunkel,2002,Rock,0.193,0.308,0.2505,10,1.894323281422561e-5,Fast
TRABDNJ128F425ACF9,Gato,Devin Townsend Project,2009,Metal,0.5,0.573,0.5365,9,1.704890953280305e-5,Medium
TRABDPR128F9326104,Set Apart This Dream,Flyleaf,2009,Rock,0.85,0.512,0.681,1924,0.0036446779934570074,Fast
TRABDRC128F4282D08,Over Now,Alice in Chains,2003,Rock,0.559,0.277,0.41800000000000004,1,1.894323281422561e-6,Medium
TRABFDT12903CADD73,Up Up & Away,Kid Cudi,2009,Hip hop,0.886,0.573,0.7295,59810,0.11329947546188338,Fast
TRABFPS12903CE5C27,Bad Sign,Diablo,2008,Metal,0.988,0.155,0.5715,1,1.894323281422561e-6,Medium
TRABHAY128F423EFAF,Kansas,The Devil Wears Prada,2012,Metal,0.982,0.0939,0.53795,32,6.0618345005521955e-5,Fast
TRABHTY12903CCE195,The Blue Cafe,Chris Rea,1998,Rock,0.759,0.873,0.8160000000000001,679,0.001286245508085919,Fast
TRABHYO128F9307B76,What I'm Trying To Say,Stars,2007,Rock,0.731,0.175,0.45299999999999996,855,0.0016196464056162897,Fast
TRABIBQ128F425A9E6,Find Me,Skanna,2017,Rock,0.962,0.7,0.831,32,6.0618345005521955e-5,Fast
TRABIPA128F1458F79,Ease,Whirr,2014,Rock,0.941,0.406,0.6735,68,1.2881398313673416e-4,Fast
TRABJBQ12903CDF3AA,Summer Day,Coconut Records,2007,Rock,0.252,0.302,0.277,8,1.5154586251380489e-5,Fast
TRABJEL128F930CE78,Drive Away,The All-American Rejects,2002,Rock,0.961,0.769,0.865,3,5.682969844267683e-6,Medium
TRABJHF128F423A7D7,Rain On Me,Ashanti,2003,other,0.699,0.509,0.604,3,5.682969844267683e-6,Medium
TRABJSS12903CA735D,Introduction,Panic! at the Disco,2005,Rock,0.157,0.526,0.3415,436,8.259249507002366e-4,Fast
TRABJWA128F9309C09,Warrior's Quest,Ensiferum,2006,Rock,0.852,0.276,0.5640000000000001,738,0.00139801058168985,Fast
TRABJZT128F425C8DC,Hustle and Cuss,The Dead Weather,2010,Rock,0.89,0.494,0.692,588,0.001113862089476466,Medium
TRABKEH12903CE5BE9,J'Ai Deux Amours,Madeleine Peyroux,2009,Jazz & Soul,0.132,0.277,0.20450000000000002,853,0.0016158577590534445,Medium
TRABKOG128F427C466,Man With No Country,Flogging Molly,2008,Rock,0.946,0.823,0.8845,1210,0.0022921311705212987,Fast
TRABKPC128F933232B,Let It All Out,Relient K,2004,Electronic,0.376,0.0754,0.2257,7,1.3260262969957928e-5,Fast
TRABLLC128F427F42F,Pushing Through,Mudvayne,2005,Metal,0.985,0.407,0.696,215,4.0727950550585064e-4,Medium
TRABLTP128F930DC6D,Have You Ever Seen the Rain,Creedence Clearwater Revival,2011,Rock,0.651,0.7,0.6755,13,2.4626202658493293e-5,Fast
TRABLUU128F1463532,Unbelievable,EMF,2010,Jazz & Soul,0.86,0.934,0.897,553,0.0010475607746266763,Medium
TRABLVH128F1478E2D,Change,Taylor Swift,2008,country,0.756,0.224,0.49,46,8.71388709454378e-5,Medium
TRABMBG128F429E9F1,Sweedeedee,Cat Power,2000,Rock,0.0295,0.0384,0.033949999999999994,1038,0.0019663075661166185,Medium
TRABMHO12903CCC6F6,You're My Baby,Robin Thicke,2008,Electronic,0.426,0.736,0.581,303,5.73979954271036e-4,Medium
TRABMNK128F92FE955,Comfort Zone,Rebelution,2012,Reggae,0.775,0.37,0.5725,63,1.1934236672962134e-4,Medium
TRABMTC128F930EBDB,Clover,Xiu Xiu,2005,Electronic,0.0313,0.0357,0.0335,9,1.704890953280305e-5,Medium
TRABMTL128F92C3A05,Anyone Can Dig A Hole But It Takes A Real Man To Call It Home,Underoath,2008,Rock,0.95,0.253,0.6014999999999999,510,9.661048735255061e-4,Fast
TRABNIC12903CF101C,Solar,Thunderball,2000,Electronic,0.811,0.501,0.656,2,3.788646562845122e-6,Fast
TRABNLJ128F930C5E0,The Best Summer Ever,A Sunny Day In Glasgow,2007,Rock,0.968,0.519,0.7435,32,6.0618345005521955e-5,Fast
TRABOEC128F4268D43,Breaking The Broken,Sparta,2004,Metal,0.734,0.49,0.612,4,7.577293125690244e-6,Fast
TRABOFJ128F146A81F,Good Bye Green Day,Mickey 3D,2000,other,0.16,0.136,0.14800000000000002,24,4.546375875414146e-5,Fast
TRABOVH128F427D3B4,Fancy Footwork,Chromeo,2010,Electronic,0.863,0.626,0.7444999999999999,24138,0.045725175366977774,Fast
TRABOWL128F427B697,Shipwrecked Frontier Pioneer,Arcturus,2005,Metal,0.595,0.197,0.396,68,1.2881398313673416e-4,Fast
TRABOXI128F931D377,I Am Eve,Mediæval Bæbes,2003,other,0.512,0.218,0.365,67,1.2691965985531158e-4,Fast
TRABPAN12903CDCAAD,I Ain't Mad At Cha,2Pac,2007,Rock,0.69,0.666,0.6779999999999999,27,5.1146728598409146e-5,Medium
TRABPAY128F428B181,K,Moonspell,1999,Rock,0.532,0.23,0.381,39,7.387860797547988e-5,Fast
TRABPCC128F4265EF7,Total All Out Water,Add N To (X),2002,Electronic,0.976,0.382,0.679,97,1.8374935829798842e-4,Fast
TRABPUI12903CF22CE,Sahti-Waari,Turisas,2004,other,0.885,0.68,0.7825,376,7.12265553814883e-4,Fast
TRABQJG128F4267518,You Sang To Me,Marc Anthony,1999,Pop,0.889,0.757,0.823,2842,0.005383666765802918,Fast
TRABQJK12903D056E1,Ev'ry Time We Say Goodbye,Simply Red,2010,Pop,0.228,0.103,0.1655,7,1.3260262969957928e-5,Fast
TRABQJT128F145F172,Atrevido,Orishas,1999,Hip hop,0.783,0.916,0.8495,3646,0.006906702684066657,Medium
TRABQUM12903C9A618,Fuzzy,Grant Lee Buffalo,2012,Rock,0.355,0.0956,0.2253,132,2.5005067314777806e-4,Medium
TRABQXH128F42758F0,Puppet On A String,The Hives,2007,Hip hop,0.658,0.897,0.7775000000000001,8,1.5154586251380489e-5,Medium
TRABRCZ128F92F86BF,Lagoa,Audio Lotion,2009,Electronic,0.495,0.577,0.536,280,5.304105187983171e-4,Fast
TRABRHT12903CF274F,Poverty For All,Ignite,2006,Metal,0.979,0.55,0.7645,202,3.826533028473573e-4,Fast
TRABRRK128F14554B0,Janine 3,Camille,2004,Rock,0.432,0.498,0.46499999999999997,73,1.3828559954384695e-4,Medium
TRABRVO128F9346FCE,Evil Inside Me,Amberian Dawn,2008,Metal,0.968,0.13,0.5489999999999999,54,1.0229345719681829e-4,Medium
TRABSTP128F4252E01,Guajira,Santana,1990,Rock,0.691,0.714,0.7024999999999999,158,2.9930307846476464e-4,Fast
TRABSXW128F4233422,Into A Swan,Siouxsie,2007,Rock,0.849,0.819,0.834,56,1.0608210375966342e-4,Medium
TRABTZM128F9328FEC,Perverse Party,Amduscia,2008,Electronic,1,0.0331,0.51655,178,3.3718954409321585e-4,Fast
TRABUIN128F93022FF,Alkohol,Herbert Grönemeyer,2008,Electronic,0.874,0.966,0.9199999999999999,256,4.8494676004417564e-4,Medium
TRABUMO12903CBE25F,Lesson Learned,Alice in Chains,2011,Metal,0.959,0.328,0.6435,1980,0.0037507600972166706,Medium
TRABUYT128F93069C8,The Sweetest Curse,Baroness,2009,Metal,0.936,0.168,0.552,190,3.599214234702866e-4,Fast
TRABVCF128F9342596,The Modern Leper,Frightened Rabbit,2008,Rock,0.917,0.297,0.607,345,6.535415320907835e-4,Medium
TRABVTG128F934AB80,Sheer Heart Attack,Queen,2007,Rock,0.995,0.0746,0.5347999999999999,4,7.577293125690244e-6,Medium
TRABWAZ12903D0539E,Angels In The Snow,David Arkenstone,1997,Electronic,0.3,0.1,0.2,49,9.282184078970549e-5,Fast
TRABWLJ128F42B1C21,Kill the Messenger,Jack's Mannequin,2005,Folk,0.823,0.258,0.5405,8,1.5154586251380489e-5,Fast
TRABWVN128F92E4E22,Undecided,Ella Fitzgerald,2011,other,0.463,0.952,0.7075,97,1.8374935829798842e-4,Medium
TRABXAE12903CF5C0A,Abominations,Morbid Angel,1991,Metal,0.915,0.535,0.7250000000000001,65,1.2313101329246648e-4,Fast
