year,Classical,Electronic,Folk,Hip hop,Jazz & Soul,Metal,Pop,Reggae,Rock,World,country,other,Latin
1990,1,9,2,1,2,57,6,5,84,2,4,6,0
1991,1,19,3,8,8,51,4,5,110,1,2,10,0
1992,0,29,2,15,11,49,4,8,118,1,1,19,1
1993,8,33,3,10,6,74,12,4,158,0,5,21,0
1994,1,58,4,23,11,86,9,3,182,0,3,22,1
1995,5,51,7,21,21,79,20,11,205,1,13,35,0
1996,2,65,7,50,7,112,9,23,213,1,3,31,0
1997,5,109,5,28,17,94,16,31,267,3,8,29,5
1998,3,76,21,36,17,129,17,18,238,5,12,33,1
1999,4,117,13,49,15,181,29,12,242,1,10,42,4
2000,4,118,12,41,15,164,24,36,306,6,14,67,3
2001,8,240,18,44,32,253,45,26,428,6,15,41,3
2002,6,200,8,54,42,231,40,34,480,5,19,69,2
2003,17,225,18,55,35,356,31,45,570,6,22,82,2
2004,16,271,44,84,29,412,88,42,641,4,21,72,7
2005,14,304,39,78,54,401,66,78,851,9,22,113,4
2006,12,401,57,76,51,488,94,46,874,15,27,99,2
2007,25,384,77,69,60,619,122,54,1228,16,34,155,5
2008,13,419,51,94,53,559,135,32,1000,7,39,158,3
2009,20,406,71,92,84,569,129,33,945,1,23,149,5
2010,13,292,38,49,53,264,94,24,656,2,37,108,1
2011,14,149,27,38,46,160,68,21,387,4,26,85,2
2012,10,100,19,36,50,92,83,24,312,3,21,73,1
2013,7,113,20,44,38,127,63,26,291,5,16,84,1
2014,17,98,7,53,44,93,64,23,252,8,17,82,2
2015,2,41,5,13,10,31,24,5,79,0,7,22,0
2016,3,25,4,12,14,55,21,4,101,0,3,15,1
2017,1,24,0,12,3,24,13,1,70,1,2,5,1
2018,2,22,1,14,3,16,17,3,46,1,2,11,0
2019,0,2,0,10,1,3,14,0,28,0,0,10,1
2020,0,0,0,1,1,1,3,0,3,0,0,1,0
