track_id,total_plays,name,artist,spotify_preview_url,tags,genre,year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_min,genre_filled,popularity_norm,mood,genre_grouped,tempo_class
TRAAAED128E0783FAB,315,It's About Time,Jamie Cullum,https://p.scdn.co/mp3-preview/9bb7b58f848a742b0a8ec3fd538e8c8970877348?cid=774b29d4f13844c495f206cafdad9c86,"jazz, piano, chill",jazz,2004,247000,0.565,0.507,9,-8.339,1,0.0541,0.702,6.64e-5,0.129,0.454,152.462,4,4.116666666666666,jazz,5.967118336481067e-4,0.48050000000000004,Jazz & Soul,Fast
TRAAAHD128F42635A5,2,I'll Be Waiting,Adele,https://p.scdn.co/mp3-preview/5f1c0da2922b0952bb45953ff43076a1cdb95f48?cid=774b29d4f13844c495f206cafdad9c86,"pop, female_vocalists, singer_songwriter, british, soul",NA,2011,241653,0.548,0.843,2,-2.674,1,0.0374,0.0467,0,0.131,0.754,160.009,4,4.02755,pop,3.788646562845122e-6,0.7985,Pop,Fast
TRAAAQO12903CD8E1C,1,Take Time,The Books,https://p.scdn.co/mp3-preview/1de501d7c5968bcad0a4d473292ec1d87a04de9e?cid=774b29d4f13844c495f206cafdad9c86,"electronic, indie, experimental",NA,2003,216626,0.72,0.643,10,-7.805,1,0.1,0.58,0.0728,0.345,0.504,90.037,4,3.6104333333333334,rock,1.894323281422561e-6,0.5735,Rock,Medium
TRAABJS128F9325C99,1831,Auburn and Ivory,Beach House,https://p.scdn.co/mp3-preview/b3583a8703729f6a8d3ec5620c7c25cd257448ec?cid=774b29d4f13844c495f206cafdad9c86,"indie, downtempo",rock,2006,270026,0.438,0.285,5,-14.96,0,0.0265,0.866,2.88e-6,0.0696,0.366,145.601,3,4.5004333333333335,rock,0.0034685059282847093,0.3255,Rock,Fast
TRAABXA128F9326351,37,Brain,Banks,https://p.scdn.co/mp3-preview/80b00112c3e5ed4d251edbba12ffa5a06c9670da?cid=774b29d4f13844c495f206cafdad9c86,"electronic, pop, female_vocalists, dance, chillout, american, indie_pop, downtempo, mellow, chill",NA,2014,281640,0.306,0.498,4,-8.392,0,0.0374,0.253,0.035,0.188,0.0807,90.326,4,4.694,rock,7.008996141263475e-5,0.28935,Rock,Medium
TRAACCD128F422CDA8,1,Just a Girl,No Doubt,https://p.scdn.co/mp3-preview/78232b764e4b2406c160020e9f422f7d8c111bfa?cid=774b29d4f13844c495f206cafdad9c86,"rock, alternative, pop, female_vocalists, alternative_rock, punk, 90s, pop_rock, ska",NA,2019,209986,0.639,0.911,2,-4.599,1,0.0496,0.0848,5.76e-5,0.148,0.748,108.004,4,3.4997666666666665,rock,1.894323281422561e-6,0.8295,Rock,Medium
TRAACER128F4290F96,88,Setting Fire to Sleeping Giants,The Dillinger Escape Plan,https://p.scdn.co/mp3-preview/251469ed024ac36add6b7bf8a3ad0c03ff1320b2?cid=774b29d4f13844c495f206cafdad9c86,"metal, jazz, experimental, hardcore, metalcore",metal,2004,207773,0.413,0.992,9,-3.923,0,0.375,0.0093,5.62e-4,0.232,0.29,166.906,4,3.4628833333333335,metal,1.6670044876518537e-4,0.641,Metal,Fast
TRAACIR128F42963AC,10,Cradle In The Crater,The Number Twelve Looks Like You,https://p.scdn.co/mp3-preview/0d43c9dc385da27797ed875b6fbf827609de94b0?cid=774b29d4f13844c495f206cafdad9c86,"hardcore, grindcore",NA,2007,258306,0.409,0.829,11,-6.191,0,0.199,0.133,8.62e-6,0.0888,0.158,133.611,4,4.3051,metal,1.894323281422561e-5,0.4935,Metal,Fast
TRAACKM12903CE5BE9,124,Ionized,Monolake,https://p.scdn.co/mp3-preview/b56009da3f62c25b509985944faf3fd1bfc663ef?cid=774b29d4f13844c495f206cafdad9c86,ambient,NA,2001,678160,0.489,0.403,0,-20.169,1,0.0442,0.102,0.904,0.109,0.648,120.021,4,11.302666666666667,electronic,2.3489608689639756e-4,0.5255000000000001,Electronic,Fast
TRAACPH12903CF5F14,1673,Double Feature,Camera Obscura,https://p.scdn.co/mp3-preview/1ef53a40ae56e7afdba301a7899779b49ce99a8c?cid=774b29d4f13844c495f206cafdad9c86,"indie, female_vocalists, post_rock, post_punk, indie_pop",rock,2001,352000,0.425,0.566,9,-10.819,1,0.0272,9.84e-4,0.522,0.0992,0.348,114.035,4,5.866666666666666,rock,0.0031692028498199448,0.45699999999999996,Rock,Medium
