genre_grouped,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Classical,202,10,0,4712,1351,919,812,5976,131,1563,4072,12641,1170,16311,8771,7104,10047,11563,6653,5753,5213,3105,1935,4157,16998,1109,117,1,210,0,0
Electronic,2929,6347,12082,7205,20867,24059,42115,48584,39834,45000,54916,175428,98601,125069,180068,176661,217080,310965,309077,396447,265103,79863,39200,50869,56099,16227,3212,10627,11961,38,0
Folk,580,88,163,1008,8552,3012,3457,367,7665,29923,2681,24488,785,6909,60478,28578,95035,121057,76941,79587,74006,18735,6599,28243,9629,1014,186,0,504,0,0
Hip hop,15,1006,13996,17106,13921,9007,27785,24183,17510,136036,45292,10944,114346,38011,68136,85825,101811,69141,97710,273318,40992,32123,23045,20583,183311,8274,2909,3005,2981,2066,1016
Jazz & Soul,940,1280,4194,264,8954,4887,4645,21214,10893,1721,7036,22340,16825,25316,12121,19915,44278,34867,48270,78712,57026,33085,67935,20658,10114,5063,2014,1066,1062,42,40
Metal,17824,14393,16690,9672,18945,35408,38999,40978,47620,53309,50980,105209,81869,167763,126270,136821,164335,176638,232582,291777,330699,98776,30502,40798,28016,20272,10201,4228,4013,2598,1168
Pop,94945,1412,6976,9246,11150,31048,12837,13256,7527,26807,12215,57996,31823,47198,72088,116148,107186,186877,219448,260414,382056,96072,164785,84249,64806,8403,8643,22771,2655,2443,28
Reggae,405,498,2524,4802,124,1427,15956,11183,2971,2735,10573,7415,17128,26573,22244,44223,40573,26410,7072,10466,11667,3151,28716,15451,18600,1116,230,24,825,0,0
Rock,53505,92416,48354,144016,144970,127235,225976,182880,91703,221536,274185,495410,507588,680649,638647,780410,959297,1280953,1549419,1357694,1097407,296615,435702,216080,239410,71673,78587,33772,23617,23484,490
World,1392,9,72,0,0,70,232,1006,5892,85,1733,12782,2693,1772,226,1253,5236,4147,1186,123,1413,1859,656,1475,7999,0,0,58,36,0,0
country,106,4377,1081,2000,166,24477,186,5150,8900,10368,6992,6898,15757,25348,15368,39357,39364,74171,123646,108562,71070,60777,39172,19273,40623,572,329,117,480,0,0
other,2667,8335,6727,8581,4926,12773,18574,18099,4903,9357,44003,17379,23975,45035,23867,69003,51816,79439,53549,93061,26241,29924,24104,26994,40953,3566,759,5630,1595,4727,1
Latin,0,0,18151,0,945,0,0,3037,455,1362,1448,4804,2958,944,15383,3942,1144,10677,720,6145,3,799,25,178,1363,0,42,229,0,130,0
